,version,n_samples,n_features,n_clusters,time
0,for-loops (v1),100,10,3,0.82216
1,matrix (v2),100,10,3,0.00893
2,matrix GPU(v3),100,10,3,9.53604
3,for-loops (v1),100,10,5,1.15693
4,matrix (v2),100,10,5,0.01369
5,matrix GPU(v3),100,10,5,0.04894
6,for-loops (v1),100,10,10,9.76064
7,matrix (v2),100,10,10,0.03551
8,matrix GPU(v3),100,10,10,0.41763
9,for-loops (v1),100,100,3,0.45773
10,matrix (v2),100,100,3,0.01582
11,matrix GPU(v3),100,100,3,0.03282
12,for-loops (v1),100,100,5,1.14734
13,matrix (v2),100,100,5,0.03759
14,matrix GPU(v3),100,100,5,0.0447
15,for-loops (v1),100,100,10,5.7304
16,matrix (v2),100,100,10,0.07544
17,matrix GPU(v3),100,100,10,0.07425
18,for-loops (v1),100,500,3,0.46944
19,matrix (v2),100,500,3,0.06257
20,matrix GPU(v3),100,500,3,0.04501
21,for-loops (v1),100,500,5,1.34697
22,matrix (v2),100,500,5,0.11979
23,matrix GPU(v3),100,500,5,0.03819
24,for-loops (v1),100,500,10,5.80346
25,matrix (v2),100,500,10,0.2962
26,matrix GPU(v3),100,500,10,0.0733
27,for-loops (v1),1000,10,3,4.78512
28,matrix (v2),1000,10,3,0.02889
29,matrix GPU(v3),1000,10,3,0.03298
30,for-loops (v1),1000,10,5,13.74364
31,matrix (v2),1000,10,5,0.06578
32,matrix GPU(v3),1000,10,5,0.04164
33,for-loops (v1),1000,10,10,47.59252
34,matrix (v2),1000,10,10,0.14192
35,matrix GPU(v3),1000,10,10,0.07021
36,for-loops (v1),1000,100,3,4.58559
37,matrix (v2),1000,100,3,0.12092
38,matrix GPU(v3),1000,100,3,0.02758
39,for-loops (v1),1000,100,5,11.99223
40,matrix (v2),1000,100,5,0.24238
41,matrix GPU(v3),1000,100,5,0.04545
42,for-loops (v1),1000,100,10,45.59503
43,matrix (v2),1000,100,10,0.5675
44,matrix GPU(v3),1000,100,10,0.07956
45,for-loops (v1),1000,500,3,4.40816
46,matrix (v2),1000,500,3,0.64988
47,matrix GPU(v3),1000,500,3,0.04848
48,for-loops (v1),1000,500,5,12.33018
49,matrix (v2),1000,500,5,1.10905
50,matrix GPU(v3),1000,500,5,0.08466
51,for-loops (v1),1000,500,10,47.9586
52,matrix (v2),1000,500,10,2.26233
53,matrix GPU(v3),1000,500,10,0.17009
54,for-loops (v1),10000,10,3,56.5925
55,matrix (v2),10000,10,3,0.27129
56,matrix GPU(v3),10000,10,3,0.0385
57,for-loops (v1),10000,10,5,139.38387
58,matrix (v2),10000,10,5,0.53441
59,matrix GPU(v3),10000,10,5,0.07043
60,for-loops (v1),10000,10,10,482.8415
61,matrix (v2),10000,10,10,1.39331
62,matrix GPU(v3),10000,10,10,0.18391
63,for-loops (v1),10000,100,3,47.70744
64,matrix (v2),10000,100,3,1.39061
65,matrix GPU(v3),10000,100,3,0.0983
66,for-loops (v1),10000,100,5,116.96124
67,matrix (v2),10000,100,5,4.00271
68,matrix GPU(v3),10000,100,5,0.22208
69,for-loops (v1),10000,100,10,420.15963
70,matrix (v2),10000,100,10,4.83921
71,matrix GPU(v3),10000,100,10,0.35672
72,for-loops (v1),10000,500,3,51.13956
73,matrix (v2),10000,500,3,6.22486
74,matrix GPU(v3),10000,500,3,0.41223
75,for-loops (v1),10000,500,5,125.29641
76,matrix (v2),10000,500,5,9.24466
77,matrix GPU(v3),10000,500,5,0.66211
78,for-loops (v1),10000,500,10,486.90773
79,matrix (v2),10000,500,10,20.5948
80,matrix GPU(v3),10000,500,10,1.37816
